"kode_kota";"nama_kota";"kode_propinsi";"nama_propinsi"
"KOTA-001";"Banda Aceh";"P33";"Nanggroe Aceh Darussalam"
"KOTA-002";"Langsa";"P33";"Nanggroe Aceh Darussalam"
"KOTA-003";"Lhokseumawe";"P33";"Nanggroe Aceh Darussalam"
"KOTA-004";"Sabang";"P33";"Nanggroe Aceh Darussalam"
"KOTA-005";"Subulussalam";"P33";"Nanggroe Aceh Darussalam"
"KOTA-006";"Binjai";"P30";"Sumatera Utara"
"KOTA-007";"Medan";"P30";"Sumatera Utara"
"KOTA-008";"Padang Sidempuan";"P30";"Sumatera Utara"
"KOTA-009";"Pematangsiantar";"P30";"Sumatera Utara"
"KOTA-010";"Sibolga";"P30";"Sumatera Utara"
"KOTA-011";"Tanjung Balai";"P30";"Sumatera Utara"
"KOTA-012";"Tebing Tinggi";"P30";"Sumatera Utara"
"KOTA-013";"Bengkulu";"P02";"Bengkulu"
"KOTA-014";"Jambi";"P07";"Jambi"
"KOTA-015";"Dumai";"P22";"Riau"
"KOTA-016";"Pekanbaru";"P22";"Riau"
"KOTA-017";"Bukittinggi";"P28";"Sumatera Barat"
"KOTA-018";"Padang";"P28";"Sumatera Barat"
"KOTA-019";"Padang Panjang";"P28";"Sumatera Barat"
"KOTA-020";"Pariaman";"P28";"Sumatera Barat"
"KOTA-021";"Payakumbuh";"P28";"Sumatera Barat"
"KOTA-022";"Sawahlunto";"P28";"Sumatera Barat"
"KOTA-023";"Solok";"P28";"Sumatera Barat"
"KOTA-024";"Lubuklinggau";"P29";"Sumatera Selatan"
"KOTA-025";"Pagar Alam";"P29";"Sumatera Selatan"
"KOTA-026";"Palembang";"P29";"Sumatera Selatan"
"KOTA-027";"Prabumulih";"P29";"Sumatera Selatan"
"KOTA-028";"Bandar Lampung";"P17";"Lampung"
"KOTA-029";"Metro";"P17";"Lampung"
"KOTA-030";"Pangkal Pinang";"P15";"Kepulauan Bangka Belitung"
"KOTA-031";"Batam";"P16";"Kepulauan Riau"
"KOTA-032";"Tanjung Pinang";"P16";"Kepulauan Riau"
"KOTA-033";"Cilegon";"P03";"Banten"
"KOTA-034";"Tangerang ";"P03";"Banten"
"KOTA-035";"Serang";"P03";"Banten"
"KOTA-036";"Bandung";"P08";"Jawa Barat"
"KOTA-037";"Banjar";"P08";"Jawa Barat"
"KOTA-038";"Bekasi";"P08";"Jawa Barat"
"KOTA-039";"Bogor";"P08";"Jawa Barat"
"KOTA-040";"Cimahi";"P08";"Jawa Barat"
"KOTA-041";"Cirebon";"P08";"Jawa Barat"
"KOTA-042";"Depok";"P08";"Jawa Barat"
"KOTA-043";"Sukabumi";"P08";"Jawa Barat"
"KOTA-044";"Tasikmalaya";"P08";"Jawa Barat"
"KOTA-045";"Jakarta Barat";"P32";"DKI Jakarta"
"KOTA-046";"Jakarta Pusat";"P32";"DKI Jakarta"
"KOTA-047";"Jakarta Utara";"P32";"DKI Jakarta"
"KOTA-048";"Jakarta Timur";"P32";"DKI Jakarta"
"KOTA-049";"Jakarta Selatan";"P32";"DKI Jakarta"
"KOTA-050";"Magelang";"P09";"Jawa Tengah"
"KOTA-051";"Surakarta";"P09";"Jawa Tengah"
"KOTA-052";"Salatiga";"P09";"Jawa Tengah"
"KOTA-053";"Semarang";"P09";"Jawa Tengah"
"KOTA-054";"Pekalongan";"P09";"Jawa Tengah"
"KOTA-055";"Tegal";"P09";"Jawa Tengah"
"KOTA-056";"Batu";"P10";"Jawa Timur"
"KOTA-057";"Blitar";"P10";"Jawa Timur"
"KOTA-058";"Kediri";"P10";"Jawa Timur"
"KOTA-059";"Madiun";"P10";"Jawa Timur"
"KOTA-060";"Malang";"P10";"Jawa Timur"
"KOTA-061";"Mojokerto";"P10";"Jawa Timur"
"KOTA-062";"Pasuruan";"P10";"Jawa Timur"
"KOTA-063";"Probolinggo";"P10";"Jawa Timur"
"KOTA-064";"Surabaya";"P10";"Jawa Timur"
"KOTA-065";"Yogyakarta";"P31";"DI Yogyakarta"
"KOTA-066";"Denpasar";"P01";"Bali"
"KOTA-067";"Mataram";"P20";"Nusa Tenggara Barat"
"KOTA-068";"Bima";"P20";"Nusa Tenggara Barat"
"KOTA-069";"Kupang";"P21";"Nusa Tenggara Timur"
"KOTA-070";"Pontianak";"P11";"Kalimantan Barat"
"KOTA-071";"Singkawang";"P11";"Kalimantan Barat"
"KOTA-072";"Banjarbaru";"P14";"Kalimantan Selatan"
"KOTA-073";"Banjarmasin";"P14";"Kalimantan Selatan"
"KOTA-074";"Palangka Raya";"P12";"Kalimantan Tengah"
"KOTA-075";"Balikpapan";"P13";"Kalimantan Timur"
"KOTA-076";"Bontang";"P13";"Kalimantan Timur"
"KOTA-077";"Samarinda";"P13";"Kalimantan Timur"
"KOTA-078";"Tarakan";"P13";"Kalimantan Timur"
"KOTA-079";"Gorontalo";"P04";"Gorontalo"
"KOTA-080";"Makassar";"P26";"Sulawesi Selatan"
"KOTA-081";"Palopo";"P26";"Sulawesi Selatan"
"KOTA-082";"Pare-Pare";"P26";"Sulawesi Selatan"
"KOTA-083";"Bau-Bau";"P25";"Sulawesi Tenggara"
"KOTA-084";"Kendari";"P25";"Sulawesi Tenggara"
"KOTA-085";"Palu";"P24";"Sulawesi Tengah"
"KOTA-086";"Bitung";"P27";"Sulawesi Utara"
"KOTA-087";"Manado";"P27";"Sulawesi Utara"
"KOTA-088";"Tomohon";"P27";"Sulawesi Utara"
"KOTA-089";"Kotamobagu";"P27";"Sulawesi Utara"
"KOTA-090";"Ambon";"P18";"Maluku"
"KOTA-091";"Tual";"P18";"Maluku"
"KOTA-092";"Ternate";"P19";"Maluku Utara"
"KOTA-093";"Tidore";"P19";"Maluku Utara"
"KOTA-094";"Jayapura";"P06";"Papua"
"KOTA-095";"Sorong";"P05";"Papua Barat"
