"kode_propinsi";"nama_propinsi";"kode_propinsi_again"
"P01";"Bali";"P01"
"P02";"Bengkulu";"P02"
"P03";"Banten";"P03"
"P04";"Gorontalo";"P04"
"P05";"Papua Barat";"P05"
"P06";"Papua";"P06"
"P07";"Jambi";"P07"
"P08";"Jawa Barat";"P08"
"P09";"Jawa Tengah";"P09"
"P10";"Jawa Timur";"P10"
"P11";"Kalimantan Barat";"P11"
"P12";"Kalimantan Tengah";"P12"
"P13";"Kalimantan Timur";"P13"
"P14";"Kalimantan Selatan";"P14"
"P15";"Kepulauan Bangka Belitung";"P15"
"P16";"Kepulauan Riau";"P16"
"P17";"Lampung";"P17"
"P18";"Maluku";"P18"
"P19";"Maluku Utara";"P19"
"P20";"Nusa Tenggara Barat";"P20"
"P21";"Nusa Tenggara Timur";"P21"
"P22";"Riau";"P22"
"P23";"Sulawesi Barat";"P23"
"P24";"Sulawesi Tengah";"P24"
"P25";"Sulawesi Tenggara";"P25"
"P26";"Sulawesi Selatan";"P26"
"P27";"Sulawesi Utara";"P27"
"P28";"Sumatera Barat";"P28"
"P29";"Sumatera Selatan";"P29"
"P30";"Sumatera Utara";"P30"
"P31";"DI Yogyakarta";"P31"
"P32";"DKI Jakarta";"P32"
"P33";"Nanggroe Aceh Darussalam";"P33"
"P34";"Tidak Terdaftar";"P34"
